name,price,category,brand,url,sku,variant,color,description,spec_Frame,spec_Framefit,spec_Gewicht,spec_Gewichtslimiet,spec_Shifter,spec_Voorderailleur,spec_Achterderailleur,spec_Crankstel,spec_Bottom_bracket,spec_Cassette,spec_Ketting,spec_Pedaal,spec_Maximale_maat_kettingblad,spec_Naaf_voor,spec_As_voorwiel,spec_Naaf_achter,spec_Velg,spec_Buitenband,spec_Maximale_bandenmaat,spec_Zadel,spec_Zadelpen,spec_Stuur,spec_Stuurlint,spec_Stuurpen,spec_Balhoofdstel,spec_Rem,spec_Shifter_speed,spec_Voorvork,spec_As_achterwiel,spec_Spaken,spec_Remschijf,spec_Schijfdiameter,spec_Buitenband_-_onderdelen,spec_Velglint,spec_Frame_plus_vork,spec_Remgreep,spec_Handvatten,spec_Wiel_voor,spec_Wiel_achter,spec_Tas,spec_Accu,spec_Oplader,spec_Motor,spec_Maximaal_geschikte_veerweg,spec_Stuur_stuurpen_(geïntegreerd),spec_Binnenband,spec_Computer,spec_Stuur_-_onderdelen,spec_Bidonhouder,spec_Bidon,spec_Kettingblad
Domane SL 6 gen 4,4299.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47131/,47131,bluedark,Blue dark,,500 Series Oclv Carbon,Endurance*,"56 cm - 8.90 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano 105 R7170,"Shimano 105 R7150 Di2, aanlasnok, down-swing","Shimano 105 R7150 Di2, max. tandwielgrootte 36T","Maat: 44, 47 Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","38mm zonder spatborden, 35mm met spatborden","Maat: 44, 47, 50, 52 Verse Short Comp, stalen rails, 155 mm breedte","Maat: 44, 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 44, 47 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 36 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Trek RCS Pro, -7 graden, 60 mm lengte",,,12-speed,"Domane SL carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,,,,,,,,,,,
Émonda SL 6,4499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41352/,41352,greylight_purple,Grey light/Purple,,500 Series Oclv Carbon,H1.5 Race*,"56 cm - 8,50 kg",125 kg,Shimano 105 R7170,"Shimano 105 R7150 Di2, aanlasnok, down-swing","Shimano 105 R7150 Di2, max. tandwielgrootte 36T","Maat: 47 Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 50T, 2x: 53/39","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35mm rim depth, 100x12mm thru axle","Bontrager R2 Hard-Case Lite, aramide hieldraad, 60 tpi, 700 x 28 mm",28 mm,"Maat: 47, 50, 52 Bontrager Aeolus Comp, stalen rails, 155 mm breedte","Maat: 47, 50, 52, 54 Bontrager carbon seatmast cap, 20 mm offset, korte versie","Maat: 47, 50 Bontrager Elite VR-C, lichtmetaal, 31,8 mm, 100 mm reach, 124 mm drop, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",12-speed,"Émonda SL full carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, Flat-Mount schijfrem, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Checkpoint SL 6 AXS Gen 2,4599.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/41397/,41397,greenlight,Green light,,500 Series Oclv Carbon,Endurance*,"56 cm - 9,35 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,SRAM Rival eTap AXS,"1x, geen voorderailleur","SRAM Rival XPLR eTap AXS, max. tandwielgrootte 44T","Maat: 49 SRAM Rival, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XG-1251, 10-44, 12-speed","SRAM Rival, 12 speed",,"1x: 46T, 2x: 50/37",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm",Bekijk de servicehandleiding,"Maat: 49, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite Gravel, lichtmetaal, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 49 Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"SRAM Rival hydraulische schijfrem, flat-mount",12-speed,"Trek Checkpoint, full carbon, tapered carbon steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch steekas, afneembare hendel",,"SRAM Paceline, afgerond, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, SRAM XD-R 12-speed freewheelnaaf, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,SRAM eTap accu (met lader),,,,,,,,,,
Madone SL 6 Gen 8,4799.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46219/,46219,red,Red,,500 Series Oclv Carbon,H1.5 Race*,"ML - 8.16 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano 105 R7170,"Shimano 105 R7150 Di2, aanlasnok, down-swing","Shimano 105 R7150 Di2, max. tandwielgrootte 36T","Maat: XS, S Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 54T, 2x: 56/43","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35mm rim depth, 100x12mm thru axle","Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 170 tpi, 700 x 28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Bontrager Aeolus Comp, stalen rails, 155 mm breedte","Maat: XS, S, M, XL Madone aero carbon zadelpen, 0 mm offset, korte versie","Maat: XS Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",,"Maat: XS Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Madone Gen 8 full carbon, tapered carbon steerer, internal brake routing, flat mount disc, 12x100mm chamfered thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Shimano RT70, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter","Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Domane SL 6 AXS gen 4,4999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36152/,36152,bluedark,Blue dark,,500 Series Oclv Carbon,Endurance,"56 cm - 8,89 kg",125 kg,SRAM Rival eTap AXS,"SRAM Rival D1 AXS, aanlasnok",SRAM Rival AXS,"Maat: 44, 47 SRAM Rival, 46/33, DUB, 165 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers","SRAM XG-1250, 10-36, 12-speed","SRAM Rival, 12-speed*",,"1x: 48T, 2x: 52/36","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas",,,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte","Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","38mm zonder spatborden, 35mm met spatborden","Maat: 44, 47, 50, 52 Bontrager Verse Short Comp, stalen rails, 155 mm breedte","Maat: 44, 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 44, 47 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 36 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Trek RCS Pro, -7 graden, 60 mm lengte",,"SRAM Rival hydraulische schijfrem, flat-mount",12-speed,"Domane SL carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas",,,"SRAM Paceline, afgerond, centerlock, 160 mm",Maximale maten remschijf: 160mm voor &amp; achter,,,,,,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, SRAM XD-R 12-speed freewheelnaaf, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,,,,,,,
Domane SL 7 Gen 4,5499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47132/,47132,black,Black,,500 Series Oclv Carbon,Endurance*,"56 cm - 8.26 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano Ultegra R8170 Di2,"Shimano Ultegra R8150 Di2, aanlasnok, down swing","Shimano Ultegra R8150 Di2, max. tandwielgrootte 34T","Maat: 44, 47 Shimano Ultegra R8100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Ultegra R8101, 11-34, 12-speed","Shimano XT M8100, 12-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","38mm zonder spatborden, 35mm met spatborden","Maat: 44, 47, 50, 52 Verse Short Comp, stalen rails, 155 mm breedte","Maat: 44, 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 44, 47 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 36 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Trek RCS Pro, -7 graden, 60 mm lengte",,,12-speed,"Domane SL carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano CL800, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Pro 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Pro 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, Shimano 11-speed freewheelnaaf, 142 x 12 mm steekas",,,,,,,,,,,,
Émonda SL 7,5499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35046/,35046,blue_black,Blue/Black,,500 Series Oclv Carbon,H1.5 Race,"56 cm - 7,80 kg",125 kg,Shimano Ultegra R8170 Di2,"Shimano Ultegra R8150 Di2, aanlasnok, down swing","Shimano Ultegra R8150 Di2, max. tandwielgrootte 34T","Maat: 47 Shimano Ultegra R8100, 52/36, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Ultegra R8100, 11-30, 12-speed","Shimano XT M8100, 12-speed",,"1x: 50T, 2x: 53/39",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R2 Hard-Case Lite, aramide hieldraad, 60 tpi, 700 x 25 mm",28mm,"Bontrager Aeolus Comp, stalen rails, 145 mm breedte","Maat: 47, 50, 52, 54 Bontrager carbon seatmast cap, 20 mm offset, korte versie","Maat: 47, 50 Bontrager Pro VR-C, OCLV Carbon, 31,8 mm, interne Di2-kabelgeleiding, 100 mm reach, 124 mm drop, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano Ultegra hydraulic disc, BR-R8170 flat mount caliper, resin pad w/fin",12-speed,"Émonda SL full carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, Flat-Mount schijfrem, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano MT800, centerlock, 160 mm",Maximale maten remschijf: 160mm voor &amp; achter,,,,,,"Bontrager Aeolus Pro 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Pro 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, Shimano 11-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Domane SL 7 gen 3,5669.1,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35333/,35333,grey_black,Grey/Black,,500 Series Oclv Carbon,Endurance,"56 cm - 8,60 kg",125 kg,Shimano Ultegra R8170 Di2,"Shimano Ultegra R8150 Di2, aanlasnok, down swing","Shimano Ultegra R8150 Di2, max. tandwielgrootte 34T","Maat: 44, 47 Shimano Ultegra R8100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Ultegra R8100, 11-34, 12-speed","Shimano XT M8100, 12-speed",,"1x: 46T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm",38mm,"Maat: 44, 47, 50, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Maat: 44, 47, 50, 52, 54, 56 Bontrager carbon interne seatmast cap, geïntegreerde verlichtingshouder, 20 mm offset, korte versie","Maat: 44, 47 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 36 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 60 mm lengte",,,12-speed,"Domane SL carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano MT800, centerlock, 160 mm",Maximale maten remschijf: 160mm voor &amp; achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, SRAM XD-R freewheelbody, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Madone SL 6 Gen 7,5999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41466/,41466,grey,Grey,,500 Series Oclv Carbon,H1.5 Race*,"56 cm - 8,40 kg",125 kg,Shimano 105 R7170,"Shimano 105 R7150 Di2, aanlasnok, down-swing","Shimano 105 R7150 Di2, max. tandwielgrootte 36T","Maat: 47 Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 50T, 2x: 54/40",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, aramide hieldraad, 120 tpi, 700 x 25 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: 47, 50, 52 Bontrager Aeolus Comp, stalen rails, 155 mm breedte","Maat: 47, 50, 52, 54 Madone aero carbon zadelpen, 0 mm offset, korte versie","Maat: 47 Bontrager RSL Aero, OCLV Carbon, 31,8 mm, interne Di2-kabelgeleiding, 80 mm reach, 124 mm drop, 35 cm breedte bij hendels, 38 cm breedte onderin stuurbeugel",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",12-speed,"Madone KVF full carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, flat-mount schijfrembevestiging, carbon dropouts, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,"Bontrager Aeolus Elite 50, OCLV Carbon, Tubeless Ready, 100 x 12 mm steekas","Bontrager Aeolus Elite 50, OCLV Carbon, Tubeless Ready, 50 mm velghoogte, Shimano 11-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Madone SL 7 Gen 8,5999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46220/,46220,grey,Grey,,500 Series Oclv Carbon,H1.5 Race*,"ML - 7.88 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano Ultegra R8170 Di2,"2x systeem, voorderailleur aanwezig",,"Maat: XS, S Shimano Ultegra R8100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Ultegra R8101, 11-34, 12-speed","SRAM PC-1130, 11-speed*",,"1x: 54T, 2x: 56/43",,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Bontrager Aeolus Pro 51, OCLV Carbon, Tubeless Ready","Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 170 tpi, 700 x 28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Bontrager Aeolus Elite, austenite rails, 155 mm breedte","Maat: XS, S, M, XL Madone aero carbon zadelpen, 0 mm offset, korte versie","Maat: XS Bontrager RSL Aero, OCLV Carbon, 31,8 mm, interne Di2-kabelgeleiding, 80 mm reach, 124 mm drop, 35 cm breedte bij hendels, 38 cm breedte onderin stuurbeugel",,"Maat: XS Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Madone Gen 8 full carbon, tapered carbon steerer, internal brake routing, flat mount disc, 12x100mm chamfered thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Shimano CL800, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter","Bontrager TLR-dichtmiddel, 175 ml",,,,,"Bontrager Aeolus Pro 51, OCLV Carbon, Tubeless Ready, 100 x 12 mm steekas","Bontrager Aeolus Pro 51, OCLV carbon, Tubeless Ready, Shimano 11/12-speed freewheelbody, 142 x 12 mm steekas",,,,,,,,,,,,
Checkpoint SL 7 AXS Gen 3,5999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/55097/,55097,green_black,Green/Black,,500 Series Oclv Carbon,Endurance*,,125 kg,,"1x, geen voorderailleur","SRAM Force XPLR AXS, max. tandwielgrootte 46T",,"SRAM DUB, T47 met schroefdraad, interne lagers*","SRAM Force XPLR XG-1371, 10-46, 13-speed","SRAM Force E1, 12/13-speed*",,1x:44 2x: 46/30,"Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Elite, holle roestvaststalen rails, 145 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS, S Bontrager Pro Gravel, 40 cm breedte",Bontrager Supertack Perf tape,"Maat: XS Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,,,,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Elite 35V, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Elite 35V, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, SRAM XD-R freewheelbody, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,40 mm (XS: alleen geschikt voor een starre voorvork) In de veelgestelde vragen over de Checkpoint SL Gen 3 vind je de passende opties,,,,,,,
Domane SLR 7 gen 4,7499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57892/,57892,green,Green,,800 Series Oclv Carbon,Endurance*,,125 kg,Shimano Ultegra R8170 Di2,"Shimano Ultegra R8150 Di2, aanlasnok, down swing","Shimano Ultegra R8150 Di2, max. tandwielgrootte 34T","Maat: 47, 50 Shimano Ultegra R8100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Ultegra R8101, 11-34, 12-speed","Shimano Ultegra/XT M8100, 12-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,"Bontrager Aeolus Pro 51, OCLV Carbon, Tubeless Ready","Bontrager Kwaremont Pro GR, Tubeless Ready, vouwband, Dual Compound, 320 tpi, 700x32 mm","38 mm zonder spatborden, 35 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Pro, carbon rails, 145 mm breedte","Maat: 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 47 Bontrager Pro IsoCore VR-SF, 38 cm",Trek EcoTack,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,,12-speed,"Domane SLR carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, Flat-Mount schijfrem, carbon dropouts, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano CL800, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",,,,,"Bontrager Aeolus Pro 51, OCLV Carbon, Tubeless Ready, 100 x 12 mm steekas","Bontrager Aeolus Pro 51, OCLV carbon, Tubeless Ready, Shimano 11/12-speed freewheelbody, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Checkmate SLR 7 AXS,7499.0,Gravel bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/58668/,58668,greendark_greenlight,Green dark/Green light,,800 Series Oclv Carbon,Endurance*,,125 kg,SRAM Force AXS,"1x, geen voorderailleur","SRAM Force XPLR AXS, max. tandwielgrootte 46T","Maat: XS, S SRAM Force XPLR met AXS vermogensmeter, 42T, DUB Wide, lengte 165 mm","Maat: XS, S, M, ML, L, XL SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM Force XPLR XG-1371, 10-46, 13-speed","SRAM Force E1, 12/13-speed",,Bekijk de servicehandleiding,,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Bontrager Girona RSL, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 220 tpi, 700 x 42 mm","45 mm zonder spatborden, 38 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Bontrager Aeolus Pro, carbon rails, 145 mm breedte","KVF aero carbon zadelpen, 5 mm offset, 280 mm lengte",,Trek EcoTack,,,,13-speed,"Checkmate SLR full carbon, taps toelopende carbon stuurbuis, weggewerkte spatbordbevestigingen, flat-mount schijfrem, 12 x 100 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Maat: XS, S, M, ML, L, XL SRAM Paceline X, afgerond, centerlock, 160 mm",Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, SRAM XD-R freewheelbody, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,"Maat: XS Trek Aero RSL geïntegreerde stuur/stuurpen, OCLV Carbon, race-geometrie, 80 mm reach, 124 mm drop, 37 cm breedte bij hendels, drop-breedte 40 cm, stuurpenlengte 70 mm",,,,,,
