post_title,post_content,post_status,post_type,sku,regular_price,product_cat,brand,product_url,variant,color,meta:Framefit,meta:Bottom_bracket,meta:Voorderailleur,images,meta:image_1_local_path,meta:additional_image_2,meta:image_2_local_path,meta:additional_image_3,meta:image_3_local_path,meta:additional_image_4,meta:image_4_local_path,meta:additional_image_5,meta:image_5_local_path,meta:import_date,meta:import_source
Émonda SL 5,,publish,product,36974,2699.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36974/,greydark,Grey dark,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/EmondaSLFS_19_24014_A_Primary",images/Trek/Émonda_SL_5/EmondaSLFS_19_24014_A_Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/EmondaSLDiscFrameset_21_32688_A_Primary",images/Trek/Émonda_SL_5/EmondaSLDiscFrameset_21_32688_A_Primary_02.jpg,https://media.trekbikes.com/image/upload/w_1200/EmondaSL5_23_36974_A_Portrait,images/Trek/Émonda_SL_5/EmondaSL5_23_36974_A_Portrait_03.jpg,,,,,2025-08-03 08:10:46,trek_scraper
FX Sport SL 6,,publish,product,47256,2799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47256/,bronze_black,Bronze/Black,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SL 5 Gen 4,,publish,product,41348,2799.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41348/,black_grey,Black/Grey,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
FX Sport 6,,publish,product,35787,2999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35787/,black,Black,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur","https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport6Carbon-25-47256-A-Primary",images/Trek/FX_Sport_6/FXSport6Carbon-25-47256-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport5Carbon-25-47263-A-Primary",images/Trek/FX_Sport_6/FXSport5Carbon-25-47263-A-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedMidstep-26-56825-A-Primary",images/Trek/FX_Sport_6/FXSportEquippedMidstep-26-56825-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedStepover-26-56824-A-Primary",images/Trek/FX_Sport_6/FXSportEquippedStepover-26-56824-A-Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Midstep-26-57142-A-Primary",images/Trek/FX_Sport_6/FX2Midstep-26-57142-A-Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Domane+ AL 5,,publish,product,47218,2999.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47218/,blue,Blue,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR6-26-46164-A-Primary",images/Trek/Domane_AL_5/DomanePlusSLR6-26-46164-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusALR5-26-56175-B-Primary",images/Trek/Domane_AL_5/DomanePlusALR5-26-56175-B-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9-26-58187-C-Primary",images/Trek/Domane_AL_5/DomanePlusSLR9-26-58187-C-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR7-26-58152-A-Primary",images/Trek/Domane_AL_5/DomanePlusSLR7-26-58152-A-Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9_23_36742_C_Primary",images/Trek/Domane_AL_5/DomanePlusSLR9_23_36742_C_Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Madone SL 5 Gen 8,,publish,product,46218,3099.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46218/,blue,Blue,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Boone 5,,publish,product,41655,3499.0,Cyclocross bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41655/,greylight,Grey light,H1.5 Race*,,"1x, geen voorderailleur","https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/BooneDiscFrameset-25-47997-B-Primary",images/Trek/Boone_5/BooneDiscFrameset-25-47997-B-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/BooneDiscFrameset_22_35696_B_Primary",images/Trek/Boone_5/BooneDiscFrameset_22_35696_B_Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/BooneDiscFrameset-25-47997-A-Primary",images/Trek/Boone_5/BooneDiscFrameset-25-47997-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/BooneDiscFrameset_22_35696_A_Primary",images/Trek/Boone_5/BooneDiscFrameset_22_35696_A_Primary_04.jpg,https://media.trekbikes.com/image/upload/w_1200/Boone5-24-41655-A-Portrait,images/Trek/Boone_5/Boone5-24-41655-A-Portrait_05.jpg,2025-08-03 08:10:46,trek_scraper
Checkpoint SL 5 AXS Gen 3,,publish,product,47071,3499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/47071/,black_grey,Black/Grey,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkpoint SL 6 AXS Gen 3,,publish,product,55098,3999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/55098/,greendark,Green dark,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SL 6 gen 4,,publish,product,57639,4299.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57639/,black_bronze,Black/Bronze,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
